STATE_ABBR,REPORTING_YEAR,CATEGORY,SUM_REL_EST,AVG_REL_EST,MIN_REL_EST,MAX_REL_EST,STD_REL_EST,VAR_REL_EST
NJ,2006,RCRA C,125803.0009,2207.070192,0.0009496,48516,6835.646024,46726056.56
NC,2006,LAND TREA,266205.1401,8066.822427,0.000002,109048,25973.67403,674631742.8
KY,2006,AIR FUG,5830165.692,5654.864881,0.0000054,934622,41098.0907,1689053059
NM,2006,AIR FUG,487965.058,2345.985856,0.0000066,62000,6932.074316,48053654.32
CT,2006,AIR FUG,740513.0916,1964.225707,0.000014,97147,8204.52963,67314306.45
MO,2006,POTW METALS,0,0,0,0,0,0
NH,2006,AIR STACK,3920007.788,21899.48485,0.0001985,2400000,183338.5536,33613025231
MN,2006,POTW METALS,0,0,0,0,0,0
CT,2006,WASTE TREATMENT,15319686.25,102131.2417,0.000015,3761965,472854.4756,2.23591E+11
OH,2006,SI 5.5.3B,12027709.18,89759.02373,0.15,3442100,321834.4475,1.03577E+11
NM,2006,UNINJ I,29373.003,2447.75025,0.003,25000,7158.497846,51244091.41
KY,2006,UNINJ I,255,127.5,5,250,173.2411614,30012.5
AK,2006,OTH DISP,365191426.9,4805150.354,0.1,211902212,27976854.27,7.82704E+14
IL,2006,UNINJ I,1966,983,699,1267,401.6366517,161312
AK,2006,RECYCLING,181226.7,15102.225,5,70400,22610.77634,511247206.8
WV,2006,POTW NON METALS,4036771.515,115336.329,53.0146,1145106,272914.4228,74482282174
MO,2006,RCRA C,131501.003,26300.2006,0.0030209,75289,29445.87354,867059468.5
MN,2006,TOTAL OFFSITE RELEASE,2837763.688,1775.822083,0,260770,14067.35593,197890503
NJ,2006,TOTAL OFFSITE RELEASE,3680395.775,1956.616574,0,583260,18619.32906,346679414.8
IN,2006,TOTAL OFFSITE RELEASE,129734723.3,33540.5179,0,25984898,668541.1085,4.46947E+11
GA,2006,POTW RELEASE,49546.3614,17.97111404,0,20000,450.3645471,202828.2253
MO,2006,POTW RELEASE,86034.8111,38.71953695,0,27708,735.9835067,541671.7221
SC,2006,POTW RELEASE,30601.73882,13.20178551,0,23936,497.7434536,247748.5456
AR,2006,POTW RELEASE,6830.57581,4.255810474,0,655,32.28701533,1042.451359
NJ,2006,POTW TREATMENT,17016953.23,9046.758763,0,5699906,165636.3319,27435394453
PR,2006,POTW TREATMENT,1299386.75,2508.468629,0,442984,26613.68931,708288458.7
MA,2006,TOTAL ONSITE RELEASE,4812692.395,2987.39441,0,1093939,31036.71283,963277543.1
FL,2006,TOTAL ONSITE RELEASE,116349116.6,55669.43376,0,23527504,608704.0346,3.70521E+11
VA,2006,TOTAL ONSITE RELEASE,66724462.21,36925.54633,0,13500000,358866.7462,1.28785E+11
MI,2006,TOTAL ON OFFSITE RELEASE,97703865.73,27383.37044,0,10000000,254345.2179,64691489868
AR,2006,TOTAL ON OFFSITE RELEASE,52388095.28,32640.55781,0,5215659,230056.4866,52925987047
IA,2006,AIR STACK,21051878.2,23184.88788,0.0000005,3180112,132780.1716,17630573960
KS,2006,POTW NON METALS,4574264.376,73778.45768,0.004,2334678,312658.9424,97755614237
OK,2006,AIR STACK,12221954.36,18978.19,0.0000992,2600000,140908.4853,19855201216
MT,2006,WASTE TREATMENT,25154.7,1006.188,0.1,15800,3190.043433,10176377.11
MO,2006,WATER,1928071.525,9737.734975,0.0000057,654634,60184.87784,3622219521
KY,2006,OTH LANDF,11451503.18,80080.44184,0.01,2456020,293242.4413,85991129358
TN,2006,RECYCLING,163793948.8,266331.624,0.01,47121406,2713528.244,7.36324E+12
PR,2006,WASTE TREATMENT,15609994.89,167849.4074,0.027,4938850,607441.6325,3.68985E+11
FL,2006,OTH LANDF,18784147.97,136117.0143,0.0012348,3100000,405290.3457,1.6426E+11
OH,2006,RECYCLING,213849877.7,124621.1409,0.001,18216747.5,879036.084,7.72704E+11
KY,2006,POTW METALS,0,0,0,0,0,0
WA,2006,AIR FUG,2038113.773,3594.55692,0.0000001,218386,15144.51917,229356461
MA,2006,WASTE TREATMENT,12988800.96,71367.03826,0.005,6401900,490724.1607,2.4081E+11
AZ,2006,SI 5.5.3B,11613015.66,122242.2701,0.0000344,2731480,357497.4255,1.27804E+11
IA,2006,OTH LANDF,1645907.73,36575.72733,0.2,520000,102319.1311,10469204597
RI,2006,AIR FUG,87457.61825,753.9449849,0.00778,17643,2178.302419,4745001.43
WI,2006,POTW NON METALS,18320282.3,73575.43094,0.0012,4000000,284459.7909,80917372625
WI,2006,WASTE TREATMENT,10906957.98,37480.95526,0.1,6500000,384191.5245,1.47603E+11
GA,2006,ENERGY RECOVERY,9687207.057,36974.07274,0.1067466,2172752,162340.8113,26354539024
WA,2006,LAND TREA,112898.1246,3528.066393,0.0055674,66946,14048.24326,197353138.7
LA,2006,LAND TREA,5564.84,428.0646154,0.04,3144,862.3274952,743608.7089
NM,2006,ENERGY RECOVERY,44542.3,2620.135294,1.1,17107,4643.94741,21566247.55
CO,2006,POTW METALS,0,0,0,0,0,0
AR,2006,UNINJ I,5286005,293666.9444,1,5191998,1222519.125,1.49455E+12
NJ,2006,OTH DISP,249301.28,17807.23429,0.28,102140,31224.37228,974961424.6
HI,2006,UNINJ IIV,4743.32,592.915,0.22,4725.9,1669.979551,2788831.7
GU,2006,SI 5.5.3B,15.5651,5.188366667,0.0051,13.59,7.342056252,53.90579
IL,2006,TOTAL OFFSITE RELEASE,37927691.02,8639.565153,0,6900000,131730.1952,17352844335
IL,2006,POTW RELEASE,236645.0902,53.90548752,0,86070,1585.905246,2515095.448
ID,2006,POTW RELEASE,469.011,1.336213675,0,385,20.74113207,430.1945596
LA,2006,POTW TREATMENT,400190.3165,133.9773406,0,273451,5320.203819,28304568.68
CT,2006,POTW TREATMENT,1368977.356,1254.791344,0,295000,14153.6606,200326108.5
NJ,2006,TOTAL ONSITE RELEASE,18185924.53,9668.221442,0,3224376,127984.0438,16379915467
VA,2006,TOTAL ON OFFSITE RELEASE,76187441.23,42162.39138,0,13500000,372269.662,1.38585E+11
MA,2006,AIR STACK,3793081.413,5268.168629,0.0000441,1093939,44768.47713,2004216545
LA,2006,RECYCLING,43458827.22,124523.8602,0.03,7567483,604921.2115,3.6593E+11
NY,2006,POTW METALS,0,0,0,0,0,0
TX,2006,UNINJ I,85016491.07,272488.7534,0.83,8648989,882881.057,7.79479E+11
CA,2006,UNINJ IIV,50938.4,2546.92,0.2,34877,7799.93873,60839044.2
UT,2006,OTH LANDF,9427284.425,108359.5911,0.0155986,1432901,248860.8692,61931732225
NJ,2006,OTH LANDF,16148.08,2306.868571,26.38,6017.8,2510.470152,6302460.386
VA,2006,POTW NON METALS,40525960.25,340554.2878,0.006,10957232,1481981.315,2.19627E+12
MN,2006,WATER,2088551.965,19519.17724,0.0006893,790000,99744.83058,9949031228
CO,2006,ENERGY RECOVERY,6494309,103084.2698,5,2300000,356231.7818,1.26901E+11
MS,2006,SI 5.5.3B,11087878.24,335996.3102,0.07,7500000,1344052.186,1.80648E+12
SC,2006,POTW NON METALS,15149350.99,85108.7134,0.12,3308681,351261.6992,1.23385E+11
MN,2006,OTH DISP,46511.71,1192.607949,0.1,37000,5937.684703,35256099.64
