Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2003','Utah','All Types of Cancer','423.1','413.5','432.9','7484','2360137'
'2003','Vermont','All Types of Cancer','505.3','488.2','522.8','3352','617858'
'2003','Washington','All Types of Cancer','504.7','498.9','510.5','29829','6104115'
'2003','West Virginia','All Types of Cancer','486.6','477.3','496.1','10542','1812295'
'2003','Wisconsin','All Types of Cancer','480.9','475.3','486.7','27510','5479203'
'2003','Hawaii','All Types of Cancer','426.5','415.5','437.7','5746','1251154'
'2003','Illinois','All Types of Cancer','493.6','489.6','497.5','61016','12556006'
'2003','Indiana','All Types of Cancer','492','486.5','497.5','30747','6196638'
'2003','Iowa','All Types of Cancer','485.8','478.3','493.4','16076','2941999'
'2003','Kentucky','All Types of Cancer','518.5','511.7','525.4','22017','4117170'
'2003','Louisiana','All Types of Cancer','493.9','487.3','500.6','21621','4521042'
'2003','Maine','All Types of Cancer','529.1','517.5','540.9','7943','1306513'
'2003','Maryland','All Types of Cancer','504.5','498.4','510.5','27233','5496269'
'2003','Massachusetts','All Types of Cancer','513.2','507.9','518.7','35096','6422565'
'2003','Michigan','All Types of Cancer','520.7','516.3','525.1','53109','10041152'
'2003','Montana','All Types of Cancer','493.4','479.8','507.4','4990','919630'
'2003','Arizona','All Types of Cancer','426.6','421.2','432','23917','5510364'
'2004','California','All Types of Cancer','452.2','449.9','454.5','146513','35574576'
'2004','Colorado','All Types of Cancer','447.2','440.6','453.8','18351','4575013'
'2004','Hawaii','All Types of Cancer','437.2','426.1','448.4','6040','1273569'
'2004','Tennessee','All Types of Cancer','450.9','445.6','456.3','27774','5910809'
'2004','Virginia','All Types of Cancer','456.4','451.5','461.4','33540','7475575'
'2004','Wyoming','All Types of Cancer','451.8','433.6','470.6','2363','509106'
'2004','Alabama','All Types of Cancer','461','454.9','467.1','22267','4530729'
'2004','Arkansas','All Types of Cancer','463.1','455.4','470.9','13947','2749686'
'2004','Georgia','All Types of Cancer','478.2','473.2','483.1','36851','8769252'
'2004','Idaho','All Types of Cancer','464.1','452.5','475.8','6183','1391802'
'2004','Kansas','All Types of Cancer','471.2','463.2','479.3','13338','2734373'
'2004','Maryland','All Types of Cancer','464.9','459.2','470.7','25549','5546935'
'2004','Mississippi','All Types of Cancer','469.7','461.8','477.7','13552','2889010'
'2004','Missouri','All Types of Cancer','471.2','465.7','476.6','28947','5747741'
'2004','Montana','All Types of Cancer','475.7','462.4','489.2','4936','930009'
'2004','Nevada','All Types of Cancer','478.4','469.2','487.7','10811','2346222'
'2004','North Carolina','All Types of Cancer','479.8','475.2','484.5','41668','8553152'
'2004','North Dakota','All Types of Cancer','464.7','448.9','480.9','3340','644705'
'2004','Oklahoma','All Types of Cancer','478.2','471.2','485.3','17780','3525233'
'2004','South Dakota','All Types of Cancer','478.3','463.5','493.4','4036','770396'
'2004','Texas','All Types of Cancer','468.2','465.1','471.3','90604','22394023'
'2004','New Hampshire','All Types of Cancer','524.6','512.3','537.1','7011','1290121'
'2004','New Jersey','All Types of Cancer','510.6','506','515.3','46710','8634561'
'2004','New York','All Types of Cancer','497.5','494.4','500.6','100469','19171567'
'2004','Ohio','All Types of Cancer','480.5','476.6','484.4','58904','11452251'
'2004','Oregon','All Types of Cancer','484.4','477.4','491.5','18485','3569463'
'2004','Pennsylvania','All Types of Cancer','503.2','499.6','506.9','73142','12410722'
'2004','Rhode Island','All Types of Cancer','532.5','519.3','545.9','6309','1074579'
'2004','South Carolina','All Types of Cancer','485.7','479.1','492.3','21182','4210921'
'2004','Vermont','All Types of Cancer','499.6','482.7','516.8','3388','619920'
'2004','Washington','All Types of Cancer','506.1','500.5','511.9','30728','6178645'
'2004','West Virginia','All Types of Cancer','493.9','484.6','503.4','10785','1816438'
'2004','Wisconsin','All Types of Cancer','481.6','476','487.3','27979','5514026'
'2004','Alaska','All Types of Cancer','513.4','491.4','536.2','2438','659286'
'2004','Arizona','All Types of Cancer','422.2','416.9','427.6','24437','5652404'
'2004','Connecticut','All Types of Cancer','508.4','501.2','515.6','19506','3496094'
'2004','Delaware','All Types of Cancer','510.5','495.6','525.6','4519','830803'
'2004','District of Columbia','All Types of Cancer','488.6','470.4','507.3','2748','567754'
'2004','Florida','All Types of Cancer','481.2','478.2','484.1','103731','17415318'
'2004','Illinois','All Types of Cancer','493.6','489.7','497.5','61616','12589773'
'2004','Indiana','All Types of Cancer','483.7','478.2','489.1','30624','6233007'
'2004','Iowa','All Types of Cancer','485.8','478.3','493.4','16271','2953635'
'2004','Kentucky','All Types of Cancer','522.2','515.4','529.1','22514','4146101'
'2004','Louisiana','All Types of Cancer','497.7','491.2','504.4','22105','4552238'
'2004','Maine','All Types of Cancer','545.1','533.4','557','8354','1313688'
'2004','Massachusetts','All Types of Cancer','514.2','508.8','519.6','35450','6412281'
'2004','Michigan','All Types of Cancer','504.2','499.9','508.6','52135','10055315'
'2004','Minnesota','All Types of Cancer','481.9','475.9','488','24538','5087713'
'2004','Nebraska','All Types of Cancer','480.6','470.5','490.7','8829','1749370'
'2004','New Mexico','All Types of Cancer','431.8','422.5','441.3','8265','1903808'
'2004','Utah','All Types of Cancer','427','417.5','436.7','7774','2401580'
'2005','California','All Types of Cancer','448.9','446.6','451.2','148409','35827943'
'2005','Colorado','All Types of Cancer','447.7','441.2','454.2','18910','4631888'
'2005','Nevada','All Types of Cancer','451.9','443.2','460.7','10670','2432143'
'2005','Alabama','All Types of Cancer','462','456','468.1','22684','4565917'
'2005','Arkansas','All Types of Cancer','466.2','458.6','474','14238','2781097'
'2005','Georgia','All Types of Cancer','470.8','466','475.7','37541','8925922'
'2005','Idaho','All Types of Cancer','478.6','467.1','490.4','6583','1428241'
'2005','Kansas','All Types of Cancer','467.2','459.2','475.2','13369','2745299'
'2005','Maryland','All Types of Cancer','464.7','459','470.4','25950','5592379'
'2005','Minnesota','All Types of Cancer','476.5','470.5','482.5','24661','5119598'
'2005','Mississippi','All Types of Cancer','470.7','462.9','478.7','13707','2876229'
'2005','Alaska','All Types of Cancer','481.7','460.8','503.3','2375','666946'
'2005','Connecticut','All Types of Cancer','510.9','503.8','518.2','19810','3506956'
'2005','Delaware','All Types of Cancer','528.6','513.8','543.9','4825','845150'
'2005','District of Columbia','All Types of Cancer','489.3','471.1','508','2778','567136'
'2005','Florida','All Types of Cancer','485','482.1','488','107138','17842038'
'2005','Illinois','All Types of Cancer','491','487.1','494.9','62019','12609903'
'2005','Indiana','All Types of Cancer','485.1','479.7','490.5','31167','6278616'
'2005','Iowa','All Types of Cancer','488.3','480.8','495.9','16482','2964454'
'2005','Kentucky','All Types of Cancer','518.8','512','525.6','22802','4182742'
'2005','Louisiana','All Types of Cancer','482','475.5','488.6','21118','4411396'
'2005','Maine','All Types of Cancer','535.1','523.6','546.9','8322','1318787'
'2005','Massachusetts','All Types of Cancer','516.9','511.5','522.3','35912','6403290'
'2005','Michigan','All Types of Cancer','505','500.7','509.4','52872','10051137'
'2005','Missouri','All Types of Cancer','491.8','486.3','497.4','30682','5790300'
'2005','Montana','All Types of Cancer','494.1','480.6','507.8','5244','940102'
'2005','Nebraska','All Types of Cancer','485.6','475.6','495.8','9042','1761497'
'2005','New Hampshire','All Types of Cancer','532','519.7','544.6','7253','1298492'
'2005','New Jersey','All Types of Cancer','511.3','506.7','515.9','47140','8651974'
'2005','New York','All Types of Cancer','500.9','497.8','504','101927','19132610'
'2005','North Carolina','All Types of Cancer','491.8','487.2','496.5','43916','8705407'
'2005','North Dakota','All Types of Cancer','481','465','497.5','3485','646089'
'2005','Ohio','All Types of Cancer','486.3','482.4','490.2','60233','11463320'
'2005','Pennsylvania','All Types of Cancer','504.7','501','508.3','73909','12449990'
'2005','Rhode Island','All Types of Cancer','510.5','497.5','523.7','6024','1067916'
'2005','South Carolina','All Types of Cancer','492.1','485.5','498.7','22010','4270150'
'2005','Tennessee','All Types of Cancer','480.5','475.1','486','30306','5991057'
'2005','Vermont','All Types of Cancer','501.9','485.2','519.1','3465','621215'
'2005','Washington','All Types of Cancer','504.9','499.3','510.6','31440','6257305'
'2005','West Virginia','All Types of Cancer','503.5','494.1','513','11119','1820492'
'2005','Arizona','All Types of Cancer','417.9','412.8','423.2','25190','5839077'
'2005','Hawaii','All Types of Cancer','431.4','420.6','442.5','6122','1292729'
'2005','New Mexico','All Types of Cancer','421.2','412.1','430.5','8290','1932274'
'2005','Oklahoma','All Types of Cancer','475.5','468.5','482.5','17895','3548597'
'2005','Oregon','All Types of Cancer','478.7','471.8','485.6','18724','3613202'
'2005','South Dakota','All Types of Cancer','461.8','447.4','476.6','3937','775493'
'2005','Texas','All Types of Cancer','465.4','462.4','468.4','92615','22773020'
'2005','Utah','All Types of Cancer','420.3','411','429.8','7933','2457719'
'2005','Virginia','All Types of Cancer','459.5','454.7','464.5','34628','7577105'
'2005','Wisconsin','All Types of Cancer','475','469.4','480.6','28018','5546166'
'2005','Wyoming','All Types of Cancer','428.4','410.8','446.5','2299','514157'
'2006','South Dakota','All Types of Cancer','443.4','429.3','457.8','3856','783033'
'2006','Wyoming','All Types of Cancer','454.6','436.6','473.1','2477','522667'
'2006','California','All Types of Cancer','447.1','444.8','449.4','149982','36021202'
'2006','Colorado','All Types of Cancer','440.6','434.3','447','19300','4720423'
'2006','Nevada','All Types of Cancer','466.7','457.9','475.5','11338','2522658'
'2006','North Dakota','All Types of Cancer','477.8','462','494.1','3513','649422'
'2006','Oregon','All Types of Cancer','475.4','468.6','482.3','19129','3670883'
'2006','Tennessee','All Types of Cancer','480.2','474.8','485.6','31094','6088766'
'2006','Texas','All Types of Cancer','458.9','455.9','461.9','94631','23359580'
'2006','Virginia','All Types of Cancer','459.8','455','464.7','35421','7673725'
'2006','Minnesota','All Types of Cancer','484.4','478.4','490.4','25565','5163555'
